Time (us),Voltage (V)
1744,34.401904
1744.5,34.34121261
1745,34.26029075
1745.5,34.18948413
1746,34.16925366
1746.5,34.07821658
1747,34.04787088
1747.5,33.96694902
1748,33.9264881
1748.5,33.8657967
1749,33.79499008
1749.5,33.74441392
1750,33.71406822
1750.5,33.63314637
1751,33.58257021
1751.5,33.52187882
1752,33.48141789
1752.5,33.3903808
1753,33.34991987
1753.5,33.29934371
1754,33.24876755
1754.5,33.1678457
1755,33.1375
1755.5,33.06669338
1756,33.03634768
1756.5,32.97565629
1757,32.92508013
1757.5,32.8846192
1758,32.82392781
1758.5,32.78346688
1759,32.72277549
1759.5,32.67219933
1760,32.64185363
1760.5,32.56093178
1761,32.53058608
1761.5,32.49012515
1762,32.44966422
1762.5,32.39908806
1763,32.36874237
1763.5,32.31816621
1764,32.24735958
1764.5,32.22712912
1765,32.17655296
1765.5,32.14620726
1766,32.09563111
1766.5,32.06528541
1767,32.04505495
1767.5,31.97424832
1768,31.94390263
1768.5,31.91355693
1769,31.85286554
1769.5,31.83263507
1770,31.79217415
1770.5,31.77194368
1771,31.69102183
1771.5,31.70113706
1772,31.67079136
1772.5,31.63033043
1773,31.61009997
1773.5,31.54940858
1774,31.56963904
1774.5,31.49883242
1775,31.44825626
1775.5,31.45837149
1776,31.3976801
1776.5,31.3673344
1777,31.40779533
1777.5,31.28641255
1778,31.27629731
1778.5,31.26618208
1779,31.25606685
1779.5,31.19537546
1780,31.19537546
1780.5,31.17514499
1781,31.10433837
1781.5,31.10433837
1782,31.08410791
1782.5,31.08410791
1783,31.01330128
1783.5,31.00318605
1784,30.98295559
1784.5,30.96272512
1785,30.93237943
1785.5,30.8615728
1786,30.88180327
1786.5,30.90203373
1787,30.84134234
1787.5,30.84134234
1788,30.81099664
1788.5,30.76042048
1789,30.79076618
1789.5,30.76042048
1790,30.73007479
1790.5,30.71995955
1791,30.70984432
1791.5,30.67949863
1792,30.66938339
1792.5,30.6390377
1793,30.66938339
1793.5,30.62892247
1794,30.62892247
1794.5,30.6390377
1795,30.608692
1795.5,30.57834631
1796,30.54800061
1796.5,30.52777015
1797,30.54800061
1797.5,30.47719399
1798,30.44684829
1798.5,30.46707875
1799,30.43673306
1799.5,30.41650259
1800,30.45696352
1800.5,30.40638736
1801,30.43673306
1801.5,30.3861569
1802,30.40638736
1802.5,30.37604167
1803,30.36592643
1803.5,30.33558074
1804,30.3558112
1804.5,30.29511981
1805,30.28500458
1805.5,30.29511981
1806,30.28500458
1806.5,30.27488935
1807,30.27488935
1807.5,30.28500458
1808,30.24454365
1808.5,30.23442842
1809,30.23442842
1809.5,30.18385226
1810,30.18385226
1810.5,30.15350656
1811,30.15350656
1811.5,29.64774496
1812,26.38052503
1812.5,23.588721
1813,21.39371566
1813.5,20.49346001
1814,21.10037393
1814.5,21.32290904
1815,21.20152625
1815.5,21.23187195
1816,21.15095009
1816.5,21.15095009
1817,21.18129579
1817.5,21.21164148
1818,21.22175672
1818.5,21.16106532
1819,21.23187195
1819.5,21.19141102
1820,21.20152625
1820.5,21.21164148
1821,21.24198718
1821.5,21.18129579
1822,21.21164148
1822.5,21.20152625
1823,21.18129579
1823.5,21.17118056
1824,21.24198718
1824.5,21.18129579
1825,21.14083486
1825.5,21.24198718
1826,21.21164148
1826.5,21.19141102
1827,21.25210241
1827.5,21.20152625
1828,21.18129579
1828.5,21.18129579
1829,21.18129579
1829.5,21.17118056
1830,21.17118056
1830.5,21.17118056
1831,21.15095009
1831.5,21.15095009
1832,21.14083486
1832.5,21.16106532
1833,21.16106532
1833.5,21.14083486
1834,21.17118056
1834.5,21.17118056
1835,21.1206044
1835.5,21.1206044
1836,21.1206044
1836.5,21.1206044
1837,21.10037393
1837.5,21.11048916
1838,21.1206044
1838.5,21.11048916
1839,21.10037393
1839.5,21.07002824
1840,21.10037393
1840.5,21.08014347
1841,21.08014347
1841.5,21.08014347
1842,21.059913
1842.5,21.04979777
1843,21.059913
1843.5,21.03968254
1844,21.03968254
1844.5,21.04979777
1845,21.03968254
1845.5,21.00933684
1846,21.04979777
1846.5,21.03968254
1847,21.01945208
1847.5,21.00933684
1848,21.01945208
1848.5,21.00933684
1849,21.00933684
1849.5,20.99922161
1850,20.99922161
1850.5,20.96887592
1851,20.96887592
1851.5,20.96887592
1852,21.14083486
1852.5,23.74044948
1853,26.54236874
1853.5,28.70702839
1854,30.29511981
1854.5,30.88180327
1855,31.86298077
1855.5,32.36874237
1856,32.8846192
1856.5,33.4207265
1857,33.73429869
1857.5,33.97706426
1858,34.1490232
1858.5,34.39178877
1859,34.59409341
1859.5,34.71547619
1860,34.81662851
1860.5,34.93801129
1861,35.00881792
1861.5,35.06950931
1862,35.08973977
1862.5,35.14031593
1863,35.1302007
1863.5,35.12008547
1864,35.08973977
1864.5,35.07962454
1865,35.02904838
1865.5,35.02904838
1866,34.94812653
1866.5,34.89755037
1867,34.85708944
1867.5,34.81662851
1868,34.76605235
1868.5,34.69524573
1869,34.63455433
1869.5,34.58397817
1870,34.52328678
1870.5,34.46259539
1871,34.401904
1871.5,34.34121261
1872,34.28052121
1872.5,34.19959936
1873,34.1490232
1873.5,34.08833181
1874,34.04787088
1874.5,33.94671856
1875,33.91637286
1875.5,33.8657967
1876,33.81522054
1876.5,33.72418346
1877,33.70395299
1877.5,33.6129159
1878,33.56233974
1878.5,33.52187882
1879,33.46118742
1879.5,33.43084173
1880,33.3600351
1880.5,33.30945894
1881,33.24876755
1881.5,33.19819139
1882,33.12738477
1882.5,33.05657814
1883,33.03634768
1883.5,32.97565629
1884,32.92508013
1884.5,32.87450397
1885,32.83404304
1885.5,32.78346688
